[2019-07-07 20:16:40 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:16:50 $28653.0]	WARNING	swManager_check_exit_status: worker#10[pid=28688] abnormal exit, status=0, signal=9
[2019-07-07 20:20:05 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=28697] exit timeout, forced kill
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=28708] exit timeout, forced kill
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=28714] exit timeout, forced kill
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=28709] exit timeout, forced kill
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=28710] exit timeout, forced kill
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=28711] exit timeout, forced kill
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=28712] exit timeout, forced kill
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=28713] exit timeout, forced kill
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_check_exit_status: worker#10[pid=28714] abnormal exit, status=0, signal=9
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_check_exit_status: worker#13[pid=28711] abnormal exit, status=0, signal=9
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_check_exit_status: worker#15[pid=28713] abnormal exit, status=0, signal=9
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_check_exit_status: worker#14[pid=28712] abnormal exit, status=0, signal=9
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_check_exit_status: worker#12[pid=28710] abnormal exit, status=0, signal=9
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_check_exit_status: worker#11[pid=28709] abnormal exit, status=0, signal=9
[2019-07-07 20:20:08 $28653.0]	WARNING	swManager_check_exit_status: worker#9[pid=28708] abnormal exit, status=0, signal=9
[2019-07-07 20:20:40 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=28825] exit timeout, forced kill
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=28838] exit timeout, forced kill
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=28832] exit timeout, forced kill
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=28837] exit timeout, forced kill
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=28836] exit timeout, forced kill
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=28833] exit timeout, forced kill
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=28835] exit timeout, forced kill
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=28834] exit timeout, forced kill
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_check_exit_status: worker#9[pid=28838] abnormal exit, status=0, signal=9
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_check_exit_status: worker#11[pid=28837] abnormal exit, status=0, signal=9
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_check_exit_status: worker#12[pid=28836] abnormal exit, status=0, signal=9
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_check_exit_status: worker#14[pid=28835] abnormal exit, status=0, signal=9
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_check_exit_status: worker#15[pid=28834] abnormal exit, status=0, signal=9
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_check_exit_status: worker#13[pid=28833] abnormal exit, status=0, signal=9
[2019-07-07 20:20:43 $28653.0]	WARNING	swManager_check_exit_status: worker#10[pid=28832] abnormal exit, status=0, signal=9
[2019-07-07 20:25:15 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=28862] exit timeout, forced kill
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=28865] exit timeout, forced kill
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=28871] exit timeout, forced kill
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=28866] exit timeout, forced kill
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=28867] exit timeout, forced kill
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=28870] exit timeout, forced kill
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=28868] exit timeout, forced kill
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=28869] exit timeout, forced kill
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_check_exit_status: worker#10[pid=28871] abnormal exit, status=0, signal=9
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_check_exit_status: worker#13[pid=28870] abnormal exit, status=0, signal=9
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_check_exit_status: worker#15[pid=28869] abnormal exit, status=0, signal=9
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_check_exit_status: worker#14[pid=28868] abnormal exit, status=0, signal=9
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_check_exit_status: worker#12[pid=28867] abnormal exit, status=0, signal=9
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_check_exit_status: worker#11[pid=28866] abnormal exit, status=0, signal=9
[2019-07-07 20:25:18 $28653.0]	WARNING	swManager_check_exit_status: worker#9[pid=28865] abnormal exit, status=0, signal=9
[2019-07-07 20:25:58 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=29021] exit timeout, forced kill
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=29033] exit timeout, forced kill
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=29027] exit timeout, forced kill
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=29032] exit timeout, forced kill
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=29031] exit timeout, forced kill
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=29028] exit timeout, forced kill
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=29030] exit timeout, forced kill
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=29029] exit timeout, forced kill
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_check_exit_status: worker#9[pid=29033] abnormal exit, status=0, signal=9
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_check_exit_status: worker#11[pid=29032] abnormal exit, status=0, signal=9
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_check_exit_status: worker#12[pid=29031] abnormal exit, status=0, signal=9
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_check_exit_status: worker#14[pid=29030] abnormal exit, status=0, signal=9
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_check_exit_status: worker#15[pid=29029] abnormal exit, status=0, signal=9
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_check_exit_status: worker#13[pid=29028] abnormal exit, status=0, signal=9
[2019-07-07 20:26:01 $28653.0]	WARNING	swManager_check_exit_status: worker#10[pid=29027] abnormal exit, status=0, signal=9
[2019-07-07 20:26:13 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=29058] exit timeout, forced kill
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=29065] exit timeout, forced kill
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=29071] exit timeout, forced kill
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=29066] exit timeout, forced kill
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=29067] exit timeout, forced kill
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=29070] exit timeout, forced kill
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=29068] exit timeout, forced kill
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=29069] exit timeout, forced kill
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_check_exit_status: worker#10[pid=29071] abnormal exit, status=0, signal=9
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_check_exit_status: worker#13[pid=29070] abnormal exit, status=0, signal=9
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_check_exit_status: worker#15[pid=29069] abnormal exit, status=0, signal=9
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_check_exit_status: worker#14[pid=29068] abnormal exit, status=0, signal=9
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_check_exit_status: worker#12[pid=29067] abnormal exit, status=0, signal=9
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_check_exit_status: worker#11[pid=29066] abnormal exit, status=0, signal=9
[2019-07-07 20:26:16 $28653.0]	WARNING	swManager_check_exit_status: worker#9[pid=29065] abnormal exit, status=0, signal=9
[2019-07-07 20:27:25 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=29087] exit timeout, forced kill
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=29096] exit timeout, forced kill
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=29090] exit timeout, forced kill
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=29095] exit timeout, forced kill
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=29094] exit timeout, forced kill
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=29091] exit timeout, forced kill
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=29093] exit timeout, forced kill
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=29092] exit timeout, forced kill
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_check_exit_status: worker#10[pid=29090] abnormal exit, status=0, signal=9
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_check_exit_status: worker#9[pid=29096] abnormal exit, status=0, signal=9
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_check_exit_status: worker#11[pid=29095] abnormal exit, status=0, signal=9
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_check_exit_status: worker#12[pid=29094] abnormal exit, status=0, signal=9
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_check_exit_status: worker#14[pid=29093] abnormal exit, status=0, signal=9
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_check_exit_status: worker#15[pid=29092] abnormal exit, status=0, signal=9
[2019-07-07 20:27:28 $28653.0]	WARNING	swManager_check_exit_status: worker#13[pid=29091] abnormal exit, status=0, signal=9
[2019-07-07 20:27:38 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=29141] exit timeout, forced kill
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=29150] exit timeout, forced kill
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=29149] exit timeout, forced kill
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=29151] exit timeout, forced kill
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=29152] exit timeout, forced kill
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=29155] exit timeout, forced kill
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=29153] exit timeout, forced kill
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=29154] exit timeout, forced kill
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_check_exit_status: worker#10[pid=29149] abnormal exit, status=0, signal=9
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_check_exit_status: worker#13[pid=29155] abnormal exit, status=0, signal=9
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_check_exit_status: worker#15[pid=29154] abnormal exit, status=0, signal=9
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_check_exit_status: worker#14[pid=29153] abnormal exit, status=0, signal=9
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_check_exit_status: worker#12[pid=29152] abnormal exit, status=0, signal=9
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_check_exit_status: worker#11[pid=29151] abnormal exit, status=0, signal=9
[2019-07-07 20:27:41 $28653.0]	WARNING	swManager_check_exit_status: worker#9[pid=29150] abnormal exit, status=0, signal=9
[2019-07-07 20:28:23 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=29169] exit timeout, forced kill
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=29177] exit timeout, forced kill
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=29171] exit timeout, forced kill
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=29176] exit timeout, forced kill
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=29175] exit timeout, forced kill
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=29172] exit timeout, forced kill
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=29174] exit timeout, forced kill
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=29173] exit timeout, forced kill
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_check_exit_status: worker#10[pid=29171] abnormal exit, status=0, signal=9
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_check_exit_status: worker#9[pid=29177] abnormal exit, status=0, signal=9
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_check_exit_status: worker#11[pid=29176] abnormal exit, status=0, signal=9
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_check_exit_status: worker#12[pid=29175] abnormal exit, status=0, signal=9
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_check_exit_status: worker#14[pid=29174] abnormal exit, status=0, signal=9
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_check_exit_status: worker#15[pid=29173] abnormal exit, status=0, signal=9
[2019-07-07 20:28:26 $28653.0]	WARNING	swManager_check_exit_status: worker#13[pid=29172] abnormal exit, status=0, signal=9
[2019-07-07 20:28:29 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=29208] exit timeout, forced kill
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=29212] exit timeout, forced kill
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=29211] exit timeout, forced kill
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=29213] exit timeout, forced kill
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=29214] exit timeout, forced kill
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=29217] exit timeout, forced kill
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=29215] exit timeout, forced kill
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=29216] exit timeout, forced kill
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_check_exit_status: worker#9[pid=29212] abnormal exit, status=0, signal=9
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_check_exit_status: worker#13[pid=29217] abnormal exit, status=0, signal=9
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_check_exit_status: worker#15[pid=29216] abnormal exit, status=0, signal=9
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_check_exit_status: worker#14[pid=29215] abnormal exit, status=0, signal=9
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_check_exit_status: worker#12[pid=29214] abnormal exit, status=0, signal=9
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_check_exit_status: worker#11[pid=29213] abnormal exit, status=0, signal=9
[2019-07-07 20:28:32 $28653.0]	WARNING	swManager_check_exit_status: worker#10[pid=29211] abnormal exit, status=0, signal=9
[2019-07-07 20:28:42 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=29232] exit timeout, forced kill
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=29237] exit timeout, forced kill
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=29243] exit timeout, forced kill
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=29242] exit timeout, forced kill
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=29241] exit timeout, forced kill
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=29238] exit timeout, forced kill
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=29240] exit timeout, forced kill
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=29239] exit timeout, forced kill
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_check_exit_status: worker#10[pid=29243] abnormal exit, status=0, signal=9
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_check_exit_status: worker#11[pid=29242] abnormal exit, status=0, signal=9
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_check_exit_status: worker#12[pid=29241] abnormal exit, status=0, signal=9
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_check_exit_status: worker#14[pid=29240] abnormal exit, status=0, signal=9
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_check_exit_status: worker#15[pid=29239] abnormal exit, status=0, signal=9
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_check_exit_status: worker#13[pid=29238] abnormal exit, status=0, signal=9
[2019-07-07 20:28:45 $28653.0]	WARNING	swManager_check_exit_status: worker#9[pid=29237] abnormal exit, status=0, signal=9
[2019-07-07 20:29:52 $28653.0]	INFO	Server is reloading all workers now
[2019-07-07 20:29:55 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=29250] exit timeout, forced kill
[2019-07-07 20:29:55 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=29265] exit timeout, forced kill
[2019-07-07 20:29:55 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=29259] exit timeout, forced kill
[2019-07-07 20:29:55 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=29260] exit timeout, forced kill
[2019-07-07 20:29:55 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=29261] exit timeout, forced kill
[2019-07-07 20:29:55 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=29264] exit timeout, forced kill
[2019-07-07 20:29:55 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=29262] exit timeout, forced kill
[2019-07-07 20:29:55 $28653.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=29263] exit timeout, forced kill
[2019-07-07 20:29:55 $28653.0]	WARNING	swManager_check_exit_status: worker#9[pid=29265] abnormal exit, status=0, signal=9
[2019-07-07 20:29:55 $28653.0]	WARNING	swManager_check_exit_status: worker#13[pid=29264] abnormal exit, status=0, signal=9
[2019-07-07 20:29:55 $28653.0]	WARNING	swManager_check_exit_status: worker#15[pid=29263] abnormal exit, status=0, signal=9
